mid,retweeted_status_mid,uid,retweeted_uid,source,image,text,geo,created_at,deleted_last_seen,permission_denied
mex2cM9N3h,,u0VP2NYGX,,新浪微博,0,今年的达喀尔大陆没有卡车组选手参赛么,,2012-01-02 21:40:09,,
mnzrX4iw2z,,u0VP2NYGX,,新浪微博,1,这是什么情况？看起来有点像enako，一定是P的吧，不是说是因为隐形眼镜掉了么？,,2012-01-02 14:25:29,,
m3zb2vDhIQ,,u0VP2NYGX,,新浪微博,1,分享图片,,2012-01-02 02:18:56,,
mkp0YE3dB6,,u0VP2NYGX,,新浪微博,1,分享图片,,2012-01-02 02:18:41,,
mSazLWcJOL,,u0VP2NYGX,,新浪微博,1,分享图片,,2012-01-02 02:18:14,,
mxMvvqvykI,,u0VP2NYGX,,新浪微博,1,分享图片,,2012-01-02 02:17:34,,
mLLmIeAXqB,,u0VP2NYGX,,新浪微博,1,分享图片,,2012-01-02 02:17:16,,
mevVyr0ynL,,u0VP2NYGX,,新浪微博,1,分享图片,,2012-01-02 02:16:59,,
mc93tI04MG,,u0VP2NYGX,,新浪微博,1,分享图片,,2012-01-02 02:15:53,,
mSFZ8Fk9z2,,u0VP2NYGX,,新浪微博,1,分享图片,,2012-01-02 02:15:33,,
mppTB0gwYL,,u0VP2NYGX,,新浪微博,1,分享图片,,2012-01-02 02:15:09,,
mHBe4hNwBM,,u0VP2NYGX,,新浪微博,1,分享图片,,2012-01-02 02:14:01,,
mc93tYDcIF,,u0VP2NYGX,,新浪微博,1,分享图片,,2012-01-02 02:13:15,,
mFLhNzH5PB,,u0VP2NYGX,,新浪微博,1,分享图片,,2012-01-02 02:12:57,,
mEjnnhQyXv,,u0VP2NYGX,,新浪微博,1,分享图片,,2012-01-02 02:12:26,,
mcyE2W3s6l,,u0VP2NYGX,,新浪微博,1,分享图片,,2012-01-02 02:12:10,,
mevVyn6bW7,,u0VP2NYGX,,新浪微博,1,分享图片,,2012-01-02 02:11:52,,
m1QiCEsj7,,u0VP2NYGX,,新浪微博,1,分享图片,,2012-01-02 02:11:35,,
